Category,Key,Baseline_Count,Baseline_Time_ms,Optimized_Count,Optimized_Time_ms,Delta_Count,Delta_Time_ms,Change_Count_%,Change_Time_%

Total,All Reorders,45,5.234567,28,-3.156789,-17,-2.077778,-37.78,-39.70

By Implementation Type
Category,Key,Baseline_Count,Baseline_Time_ms,Optimized_Count,Optimized_Time_ms,Delta_Count,Delta_Time_ms,Change_Count_%,Change_Time_%
Implementation Type,jit:uni,32,3.456789,20,2.123456,-12,-1.333333,-37.50,-38.57
Implementation Type,jit_direct_copy:uni,8,1.234567,5,0.765432,-3,-0.469135,-37.50,-38.00
Implementation Type,simple:any,5,0.543211,3,0.267901,-2,-0.275310,-40.00,-50.68

By Dimension
Category,Key,Baseline_Count,Baseline_Time_ms,Optimized_Count,Optimized_Time_ms,Delta_Count,Delta_Time_ms,Change_Count_%,Change_Time_%
Dimension,1536x8960,12,1.876543,6,0.876543,-6,-1.000000,-50.00,-53.28
Dimension,8960x1536,12,1.765432,6,0.865432,-6,-0.900000,-50.00,-50.97
Dimension,1536x1536,8,0.987654,5,0.567654,-3,-0.420000,-37.50,-42.52
Dimension,1x16x1536,6,0.345678,5,0.312345,-1,-0.033333,-16.67,-9.64
Dimension,16x1536,4,0.234567,4,0.234567,0,0.000000,0.00,0.00
Dimension,1536x256,3,0.024693,2,0.017890,-1,-0.006803,-33.33,-27.55

By Dimension Value
Category,Key,Baseline_Count,Baseline_Time_ms,Optimized_Count,Optimized_Time_ms,Delta_Count,Delta_Time_ms,Change_Count_%,Change_Time_%
Dimension Value,1536,45,5.234567,28,3.156789,-17,-2.077778,-37.78,-39.70
Dimension Value,8960,24,3.641975,12,1.741975,-12,-1.900000,-50.00,-52.17
Dimension Value,16,10,0.580245,9,0.546912,-1,-0.033333,-10.00,-5.74
Dimension Value,256,3,0.024693,2,0.017890,-1,-0.006803,-33.33,-27.55
Dimension Value,1,6,0.345678,5,0.312345,-1,-0.033333,-16.67,-9.64

By Layout Transformation
Category,Key,Baseline_Count,Baseline_Time_ms,Optimized_Count,Optimized_Time_ms,Delta_Count,Delta_Time_ms,Change_Count_%,Change_Time_%
Layout Transformation,ab -> ba,24,3.641975,12,1.741975,-12,-1.900000,-50.00,-52.17
Layout Transformation,abc -> acb,8,0.987654,5,0.567654,-3,-0.420000,-37.50,-42.52
Layout Transformation,abcd -> acdb,6,0.345678,5,0.312345,-1,-0.033333,-16.67,-9.64
Layout Transformation,ab -> ab,5,0.234567,4,0.234567,-1,0.000000,-20.00,0.00
Layout Transformation,a -> a,2,0.024693,2,0.017890,0,-0.006803,0.00,-27.55
